	Pert_2	Pert_7	Pert_9	hdf_day15	hdf_day25_CD49F
LGALS1	-2.75490346249	-2.78232467026	-2.16734490544	-9.68330384719	-10.8211654408
TMSB4X	0.0137745173124	0.118335385353	0.0945259460314	-9.56607299879	-11.5293711115
FTL	0.0137745173124	0.118335385353	0.0945259460314	-10.8743783059	-9.13689824843
SERPINE2	-2.75490346249	-2.78232467026	-2.16734490544	-5.02436729713	-4.21880252701
TGFBI	-2.75490346249	0.118335385353	-2.16734490544	-4.12546707842	-3.61657923821
CD9	2.78245249711	0.118335385353	2.3563967975	3.41872325391	3.62304940737
VIM	0.0137745173124	0.118335385353	0.0945259460314	-7.62383650898	-4.8707949493
SOD2	2.78245249711	3.01899544096	2.3563967975	1.71364248585	1.57065157376
S100A6	0.0137745173124	0.118335385353	0.0945259460314	4.50026319572	6.3305635087
GLUL	2.78245249711	3.01899544096	2.3563967975	1.48940931691	1.14964217669
TPM1	-2.75490346249	-2.78232467026	-2.16734490544	-1.34211338772	-1.07893552444
CST3	0.0137745173124	0.118335385353	0.0945259460314	3.29055546899	6.52461894252
SPARC	0.0137745173124	0.118335385353	0.0945259460314	3.78612724729	5.6702507851
ACTB	0.0137745173124	0.118335385353	0.0945259460314	-4.54501774423	-4.97592589853
FKBP5	2.78245249711	3.01899544096	2.3563967975	0.598298671069	0.469911040841
CLU	2.78245249711	-2.78232467026	0.0945259460314	3.41327882989	5.67308958255
TSC22D3	2.78245249711	3.01899544096	2.3563967975	0.327042105168	0.512578704042
FHL2	-2.75490346249	-2.78232467026	-2.16734490544	-0.229175138135	-0.233423855693
PER1	2.78245249711	3.01899544096	2.3563967975	-0.00583578162444	0.0126154758186
TXNIP	2.78245249711	3.01899544096	2.3563967975	-0.00583578162444	0.0126154758186
MUC1	2.78245249711	3.01899544096	2.3563967975	-0.00583578162444	0.0126154758186
PHF15	2.78245249711	3.01899544096	2.3563967975	-0.00583578162444	0.0126154758186
MAOA	2.78245249711	3.01899544096	2.3563967975	-0.00583578162444	0.0126154758186
ZBTB16	2.78245249711	3.01899544096	2.3563967975	-0.00583578162444	0.0126154758186
RPS4Y1	2.78245249711	3.01899544096	2.3563967975	-0.00583578162444	0.0126154758186
MIR1282	0.0137745173124	0.118335385353	0.0945259460314	4.28455668415	3.61480679537
ARNT	0.0137745173124	0.118335385353	0.0945259460314	-4.5740942917	-3.7535097219
