	hdf_day15	hdf_day25_CD49F
AADAC	0.0	0.00852236504945
ABLIM3	0.00852268137558	0.00627254981088
ACADVL	0.0171120957527	0.0152596626191
ACE	0.0	0.00789704724735
ACKR4	-0.0103337394268	-0.00917409840287
ACTA2	-0.00598582060079	0.0
ACTB	-0.141957690813	-0.156132329994
ACTG1	-0.083024808421	-0.0826394851558
ACTN1	-0.00871989998671	-0.00952412037569
ACTN4	-0.00672572636959	-0.00676825699553
ADAMTSL4-AS1	0.0103043615703	0.00786012577575
ADH1B	0.0117816545949	0.0181188769694
ADH5	0.0	-0.0060827045067
ADIRF	0.0325085980711	0.038802860948
ADM	-0.0250405532	-0.0217287655942
AEBP1	-0.0134574571211	-0.0101607995232
AHNAK	0.0147711883213	0.0177819901916
AHNAK2	0.0	0.00889301834259
AK5	-0.00587520521813	0.0
AKAP2	-0.00812443862801	-0.00889053949704
AKR1C1	0.0096345756757	0.00635129072386
AKR1C2	0.00900494401385	0.012356448312
AKR1C3	0.0	0.00731771915975
ALDH1A3	0.0	0.0108038158196
ALDOA	-0.0174528866592	-0.0106129530765
ANGPTL2	-0.00847212082606	-0.00591508565596
ANKRD10	0.0	0.00815462376272
ANPEP	0.00992960376509	0.00618622230928
ANTXR1	-0.0105178745345	-0.00815726611863
ANXA1	0.0573941496241	0.0851134575292
ANXA11	0.00668081041318	0.00678321005446
ANXA2	0.0406606233595	0.0225142374463
ANXA4	0.0111043889398	0.0107807370894
ANXA5	0.00972503154423	-0.0187978024832
ANXA6	-0.0121260547719	-0.0140642322726
AP2S1	-0.00858405371476	-0.00766256995592
APCDD1	-0.012803441078	-0.0113421913436
APLP2	-0.0632510309726	-0.0580613390919
APOD	0.00690317784135	0.00985913390839
APP	-0.0376654717427	-0.0348128768141
AQP1	0.0	0.0103057975138
AQP3	0.0199298747492	0.0163056992455
ARHGDIA	-0.0167081350246	-0.0123195142899
ARL6IP5	0.010977684773	0.00803165870602
ARMC9	-0.00590541890632	0.0
ARNT	-0.142867026365	-0.11787291275
ARPC1B	-0.0130526463633	-0.0132318334407
ARPC2	-0.00966024419777	-0.0137671134061
ARPC3	0.0	-0.00808385827129
ASPH	-0.0141315615569	-0.014443795834
ASS1	0.0161499887771	0.00995496629327
ATF4	0.0180309593523	0.0240452530137
ATOX1	0.0	-0.00589838703305
ATP1B3	-0.00885765550594	-0.00904521167001
ATP5E	-0.0149710674269	-0.0236220275814
ATP5G2	0.00684706265228	0.0
ATP5I	0.0	-0.0103487923701
ATP5J2	0.0	-0.0124607790786
ATP5O	0.00944587217447	0.0
ATP6V0E1	-0.0105493480869	-0.0155741469108
B2M	0.0155291454363	-0.0281994668685
BAX	-0.00893606084625	-0.0102392742403
BGN	-0.0120620641654	-0.0106763401216
BLOC1S5	-0.00984706690671	-0.00839721035693
BRI3	-0.0233847199483	-0.0236457202941
BSG	0.00727763909109	0.0121234014823
BTF3	0.0131834192202	0.0061247722719
BZW1	0.0337352204998	0.0224850615586
C11ORF91	0.00761406131551	0.0141362550213
C11ORF96	0.0	0.0095877975631
C12ORF75	-0.0275994705888	-0.029240147273
C17ORF49	-0.00757085693702	-0.00998959421587
C18ORF32	0.0546224908899	0.0284910992137
C19ORF10	-0.0173714812661	-0.0152616126605
C1R	0.00816843849468	0.00688155666255
CALD1	-0.0224725869037	-0.0203966504543
CALM2	-0.0201208519172	-0.0284598008463
CALM3	0.0	-0.0110073602488
CALR	-0.0379770479226	-0.0457556716739
CALU	-0.00937832712572	-0.0151743420572
CAMK2N1	-0.00700327582501	-0.00837368366766
CAP1	-0.00792150893063	-0.00963376501199
CAPG	0.0	0.00806879387292
CAPN2	0.0159403696543	0.0132889747117
