	Pert_2	Pert_7	Pert_9	hdf_day15	hdf_day25_CD49F
TMSB4X	0.0	0.0	0.0	-0.298985414146	-0.361243322126
LGALS1	-1.0	-1.0	-1.0	-0.302651673985	-0.339077764466
FTL	0.0	0.0	0.0	-0.33990115663	-0.286363245061
VIM	0.0	0.0	0.0	-0.238244203642	-0.15284192127
S100A6	0.0	0.0	0.0	0.140923058531	0.197740355974
CST3	0.0	0.0	0.0	0.103090841876	0.203813940366
ACTB	0.0	0.0	0.0	-0.141957690813	-0.156132329994
SPARC	0.0	0.0	0.0	0.118589278788	0.177073761007
SERPINE2	-1.0	-1.0	-1.0	-0.156948796299	-0.132435736698
CLU	1.0	-1.0	0.0	0.106928873721	0.177162610237
ARNT	0.0	0.0	0.0	-0.142867026365	-0.11787291275
COL3A1	0.0	-1.0	0.0	0.138647646932	0.113033009508
MIR1282	0.0	0.0	0.0	0.134177085682	0.112742078616
EEF1A1	0.0	0.0	0.0	0.168725069416	0.0745259065663
TGFBI	-1.0	0.0	-1.0	-0.128836726686	-0.113587236064
CLEC3B	0.0	0.0	0.0	0.10668386489	0.116578731207
CD9	1.0	0.0	1.0	0.107099141815	0.113000057476
LPCAT2	0.0	0.0	0.0	-0.117936047057	-0.0939428478019
GSN	0.0	0.0	0.0	0.0665029841849	0.130047019589
MMP1	0.0	0.0	0.0	-0.103564932408	-0.0885269503033
COL6A1	0.0	0.0	0.0	0.111162548959	0.0760950532209
FTH1	0.0	0.0	0.0	-0.108488906105	-0.0780987562916
PKM	0.0	0.0	0.0	-0.0955127564447	-0.0866945797555
HTRA1	0.0	0.0	0.0	-0.0955214095984	-0.0743856252239
ACTG1	0.0	0.0	0.0	-0.083024808421	-0.0826394851558
MT2A	0.0	0.0	0.0	0.104507961647	0.057132656465
THBS1	0.0	0.0	0.0	-0.0846581483092	-0.0759971214988
DCN	1.0	0.0	0.0	0.0415439308897	0.110688089262
HSP90B1	0.0	0.0	0.0	-0.0790692780696	-0.0652479226247
ANXA1	0.0	0.0	-1.0	0.0573941496241	0.0851134575292
MMP3	0.0	0.0	0.0	-0.0748733417324	-0.0674787021294
ITGB1	0.0	0.0	0.0	-0.0664349121225	-0.0734275710939
TMSB10	0.0	0.0	0.0	-0.0442758656873	-0.0875927314057
PSAP	0.0	0.0	0.0	0.0586716585209	0.071965907185
CLDN11	0.0	0.0	0.0	-0.0665377040034	-0.0627648607671
CFL1	0.0	0.0	0.0	-0.0647999458939	-0.0622596182267
CFD	1.0	0.0	0.0	0.047040035353	0.0779467071187
GREM1	0.0	0.0	0.0	-0.0660307825625	-0.058074675206
S100A10	0.0	0.0	0.0	0.0566109652779	0.0674110064159
GAS6	0.0	0.0	0.0	-0.0624516946211	-0.0605834432342
RPLP0	0.0	0.0	0.0	0.0629837411904	0.0589294185077
CAV1	0.0	0.0	0.0	0.0661953448154	0.055350408365
S100A3	0.0	0.0	0.0	0.0729866416753	0.0485245341088
APLP2	0.0	0.0	0.0	-0.0632510309726	-0.0580613390919
MIR3648	0.0	0.0	0.0	0.0910415780401	0.0299134078075
IGFBP6	0.0	0.0	0.0	0.0549660788317	0.0620194697768
CPA4	0.0	0.0	0.0	0.0645185165111	0.0482801393695
MIR6084	0.0	0.0	0.0	-0.0758738760663	0.185980590698
RPS6	0.0	0.0	0.0	0.0693296332216	0.038480726338
SOD2	1.0	1.0	1.0	0.0537747035182	0.0487637142668
TAGLN	0.0	0.0	0.0	-0.0586247045218	-0.0434951115944
SNORD23	0.0	0.0	0.0	-0.05109096163	-0.0508386093327
FBLN1	0.0	0.0	0.0	0.0464144257031	0.0545451043641
LDHA	0.0	0.0	0.0	-0.0442524405846	-0.0472470910969
LOC100130872	0.0	0.0	0.0	-0.0488321466746	-0.0422596348124
RPL41	0.0	0.0	0.0	0.061173098785	0.0287715506895
RPS2	0.0	0.0	0.0	0.0556179985392	0.0340939145609
RPS27	0.0	0.0	0.0	0.0474342648584	0.041722903687
EIF4A2	0.0	0.0	0.0	-0.0447588576833	-0.0431280548124
COL1A1	0.0	0.0	0.0	0.0138115685597	0.0738204734269
RPS4X	0.0	0.0	0.0	0.0483097118304	0.0386803653585
CD63	0.0	0.0	0.0	-0.0417019213039	-0.0433673111515
RPL3	0.0	0.0	0.0	0.0465435190996	0.0375475047571
RPL4	0.0	0.0	0.0	0.0531141923245	0.0307783393389
CALR	0.0	-1.0	0.0	-0.0379770479226	-0.0457556716739
SERPINE1	0.0	0.0	0.0	0.0427608760288	0.0405308311536
C18ORF32	0.0	0.0	0.0	0.0546224908899	0.0284910992137
GLUL	1.0	1.0	1.0	0.0467620692752	0.0355868809638
COL1A2	0.0	0.0	0.0	-0.0579203668722	-0.0230437799459
PPAP2B	0.0	0.0	0.0	0.036568239917	0.0442528561998
PFN1	0.0	0.0	0.0	-0.0345718962623	-0.0438139772128
TUBA1B	0.0	0.0	0.0	-0.0318513073575	-0.0452031491769
GJA1	0.0	0.0	0.0	-0.0434160831529	-0.0334431629045
MYL6	0.0	0.0	0.0	-0.034457604061	-0.0422718635726
RPS3A	0.0	0.0	0.0	0.0518318282517	0.0242203464715
TPM1	-1.0	-1.0	-1.0	-0.0417905439371	-0.0341635737159
P4HB	0.0	0.0	0.0	-0.0381786868767	-0.0366621563415
S100A11	0.0	0.0	0.0	-0.0362318240136	-0.0377546967972
APP	0.0	0.0	0.0	-0.0376654717427	-0.0348128768141
CCND1	0.0	0.0	0.0	-0.0379023643532	-0.0341597841887
THY1	0.0	0.0	0.0	0.0435428842609	0.0284859338255
ADIRF	0.0	0.0	0.0	0.0325085980711	0.038802860948
RPL26	0.0	0.0	0.0	0.0484183643744	0.0218119646018
RPS25	0.0	0.0	0.0	0.0422195352878	0.0271383640481
MT1E	0.0	0.0	0.0	0.0424713539912	0.025815805462
TPM2	0.0	0.0	0.0	-0.0343517482536	-0.0337406864477
SNORA67	0.0	0.0	0.0	0.0352247559219	0.0318020479556
RPS12	0.0	0.0	0.0	0.0436298358562	0.0226093519398
RPL5	0.0	0.0	0.0	0.0400237727848	0.0250237099706
PPIB	0.0	0.0	0.0	-0.0333285164892	-0.0316465693288
PSG5	0.0	0.0	0.0	-0.034591997853	-0.0303285807684
CTSZ	0.0	0.0	0.0	-0.0347525272169	-0.0286702588184
ANXA2	0.0	0.0	0.0	0.0406606233595	0.0225142374463
COL6A3	0.0	0.0	0.0	0.0267004446695	0.0342130702795
RHOB	0.0	0.0	1.0	0.0282299295931	0.032371426675
TIMP2	0.0	0.0	0.0	-0.0353039796513	-0.0241126000334
DUSP1	0.0	1.0	1.0	0.0343529841085	0.0245763915985
GNAS	0.0	0.0	0.0	-0.0320338089648	-0.0263721292805
RPL12	0.0	0.0	0.0	0.0365482990028	0.0217327541696
MEST	0.0	0.0	0.0	0.0239781810928	0.0342349218782
SBSN	0.0	0.0	0.0	0.0233621282639	0.0342252865263
MIR4426	0.0	0.0	0.0	0.0391350422545	0.0184429088827
RPL18A	0.0	0.0	0.0	0.0362094567212	0.0212667048628
RPL21	0.0	0.0	0.0	0.042540612579	0.014741374921
C12ORF75	0.0	0.0	0.0	-0.0275994705888	-0.029240147273
BZW1	0.0	0.0	0.0	0.0337352204998	0.0224850615586
RPL35A	0.0	0.0	0.0	0.0397988727949	0.0160002784398
COL5A1	0.0	0.0	0.0	0.0270266590913	0.0282076644489
RPL11	0.0	0.0	0.0	0.0415850289222	0.0135066989672
RPL7	0.0	0.0	0.0	0.038671801306	0.0163595057674
MYL9	0.0	0.0	0.0	-0.028114238084	-0.0261263722183
MIR4709	0.0	0.0	0.0	-0.0293970365338	-0.0244610310497
RPL31	0.0	0.0	0.0	0.0342794143048	0.0192981936053
RPL7A	0.0	0.0	0.0	0.0332492669903	0.0200225536474
ITGA5	0.0	0.0	0.0	0.0303587652445	0.0221319927203
RPL30	0.0	0.0	0.0	0.0348300726262	0.0175704139817
GPX1	0.0	0.0	0.0	-0.0274130020298	-0.0248210070853
RPS13	0.0	0.0	0.0	0.039647225556	0.0124188200093
IFITM3	0.0	0.0	0.0	0.0203014005602	0.031532681886
RPL6	0.0	0.0	0.0	0.0362412026098	0.0154131914392
TIMP1	0.0	0.0	0.0	0.0	0.0511403525598
MGP	0.0	0.0	0.0	0.0120380745001	0.0390684415257
RPS15A	0.0	0.0	0.0	0.0398001453312	0.0111728730663
NME1	0.0	0.0	0.0	-0.0209776863474	-0.0296565245642
RPS8	0.0	0.0	0.0	0.0342070976828	0.0163107326419
OAZ1	0.0	0.0	0.0	-0.0261734077568	-0.0234639227082
S100A13	0.0	0.0	0.0	-0.0268351431539	-0.0221293934258
CRLF1	0.0	0.0	0.0	0.0190026741331	0.0298343681074
KRT7	0.0	0.0	1.0	0.0263506452669	0.0223976202127
EEF2	0.0	0.0	0.0	0.0168778787527	0.0318234981471
CALM2	0.0	0.0	0.0	-0.0201208519172	-0.0284598008463
PEA15	0.0	0.0	-1.0	-0.0241016521034	-0.0238131754609
CHPF2	0.0	0.0	0.0	-0.0139632167106	-0.0337724556599
MMP14	0.0	0.0	0.0	-0.0250059925426	-0.0225909551525
RPS24	0.0	0.0	0.0	0.0396477686939	0.0077453806931
RPL24	0.0	0.0	0.0	0.0331225816667	0.0141174023471
BRI3	0.0	0.0	0.0	-0.0233847199483	-0.0236457202941
IFITM2	0.0	0.0	0.0	0.0203563468339	0.0265734758988
HSD11B1L	0.0	0.0	0.0	0.0333218279477	0.0136007042485
ADM	0.0	0.0	0.0	-0.0250405532	-0.0217287655942
RPL39	0.0	0.0	0.0	0.0341812358298	0.0112445896473
LY6E	0.0	0.0	0.0	-0.02408708892	-0.0209002402189
RPS29	0.0	0.0	0.0	0.0384696956723	0.00648887957947
MFI2	0.0	0.0	0.0	0.021811902962	0.0230102319661
RPL29	0.0	0.0	0.0	0.0283769863235	0.0162703043016
KCNMA1	0.0	0.0	0.0	0.021859249568	0.0226275123496
TPM4	0.0	0.0	0.0	-0.0168713206542	-0.0274936384262
MIR1304	0.0	0.0	0.0	0.0340285251626	0.0101428660325
PYGB	0.0	0.0	0.0	0.0223362474971	0.0215425121867
RPL10A	0.0	0.0	0.0	0.025407074845	0.018395643594
WISP2	0.0	0.0	0.0	0.0150038447678	0.0286490558989
PTMS	0.0	0.0	0.0	-0.0226040891701	-0.0209400558722
CALD1	0.0	0.0	0.0	-0.0224725869037	-0.0203966504543
CEMIP	0.0	0.0	0.0	-0.0215362585176	-0.021227667885
RPL13A	0.0	0.0	0.0	0.0287001478355	0.0138346988527
RND3	0.0	-1.0	-1.0	-0.0215691953108	-0.0205414099023
ECM1	0.0	0.0	0.0	0.0158121695214	0.0262757611889
ATF4	0.0	0.0	0.0	0.0180309593523	0.0240452530137
SNORA24	0.0	0.0	0.0	-0.0240228910034	-0.0180392105387
MIR7705	0.0	0.0	0.0	0.0217564311731	0.0199713209787
SNORA70	0.0	0.0	0.0	-0.0207153713494	-0.0205040172058
LAMP1	0.0	0.0	0.0	-0.0210088752648	-0.0200631993557
TUBA1A	0.0	0.0	0.0	-0.0212968191869	-0.0195261182342
ENPP2	0.0	0.0	0.0	-0.0188269836399	-0.0215051707133
EMP3	-1.0	0.0	0.0	0.0161363292289	0.0233075105417
VAT1	0.0	0.0	0.0	-0.0200737368704	-0.01928334705
MOXD1	0.0	0.0	0.0	-0.0205856967152	-0.0186060080528
CDK2AP1	0.0	0.0	0.0	-0.0203270170385	-0.0187252690066
ATP5E	0.0	0.0	0.0	-0.0149710674269	-0.0236220275814
LUM	1.0	0.0	0.0	-0.0223379595518	-0.0161736625235
FKBP9	0.0	0.0	0.0	-0.02059622423	-0.0175984131468
NT5E	0.0	0.0	-1.0	-0.0190649628128	-0.0188367443942
FAM20C	0.0	0.0	0.0	-0.0192234180994	-0.0186665612654
UBB	0.0	0.0	0.0	-0.0194330732553	-0.0181155073487
TMEM119	0.0	0.0	0.0	-0.0180348592101	-0.0194547714257
IGFBP3	-1.0	0.0	-1.0	-0.0374369950371	0.0
TFPI	0.0	0.0	0.0	0.0192234828924	0.0181067299837
S100A16	0.0	0.0	0.0	0.0223593167421	0.0147567967489
COL7A1	0.0	0.0	0.0	0.0193347186134	0.0176596382927
UCHL1	0.0	0.0	0.0	-0.0194890429689	-0.0172088488164
