	Pert_2	Pert_7	Pert_9	hdf_day15	hdf_day25_CD49F
LGALS1	-1.0	-1.0	-1.0	-0.302651673985	-0.339077764466
SERPINE2	-1.0	-1.0	-1.0	-0.156948796299	-0.132435736698
SOD2	1.0	1.0	1.0	0.0537747035182	0.0487637142668
GLUL	1.0	1.0	1.0	0.0467620692752	0.0355868809638
TPM1	-1.0	-1.0	-1.0	-0.0417905439371	-0.0341635737159
FKBP5	1.0	1.0	1.0	0.0188936095868	0.0143125247853
TSC22D3	1.0	1.0	1.0	0.0104103727326	0.0156479455368
FHL2	-1.0	-1.0	-1.0	-0.00698468128818	-0.0077005864473
DKK3	-1.0	-1.0	-1.0	-0.00696776573081	0.0
TM4SF1	-1.0	-1.0	-1.0	0.0	0.0
IER3	-1.0	-1.0	-1.0	0.0	0.0
MAOA	1.0	1.0	1.0	0.0	0.0
ARL4C	-1.0	-1.0	-1.0	0.0	0.0
RPS4Y1	1.0	1.0	1.0	0.0	0.0
AXL	-1.0	-1.0	-1.0	0.0	0.0
MUC1	1.0	1.0	1.0	0.0	0.0
TXNIP	1.0	1.0	1.0	0.0	0.0
PTN	-1.0	-1.0	-1.0	0.0	0.0
PER1	1.0	1.0	1.0	0.0	0.0
PHF15	1.0	1.0	1.0	0.0	0.0
-666	-1.0	-1.0	-1.0	0.0	0.0
CX3CR1	-1.0	-1.0	-1.0	0.0	0.0
ZBTB16	1.0	1.0	1.0	0.0	0.0
TGFBI	-1.0	0.0	-1.0	-0.128836726686	-0.113587236064
CD9	1.0	0.0	1.0	0.107099141815	0.113000057476
DUSP1	0.0	1.0	1.0	0.0343529841085	0.0245763915985
RND3	0.0	-1.0	-1.0	-0.0215691953108	-0.0205414099023
IGFBP3	-1.0	0.0	-1.0	-0.0374369950371	0.0
ASS1	1.0	0.0	1.0	0.0161499887771	0.00995496629327
CYR61	0.0	-1.0	-1.0	0.0	-0.0099271493527
TMEM158	0.0	-1.0	-1.0	-0.00785015295958	0.0
